Van der Pol Oscillator – Simulation Results
-----------------------------------------
mu = 1, dt = 0.01, final time = 20

t	 y(real)
1047	 -1.259262
1048	 -1.249756
1049	 -1.240173
1050	 -1.230530
1051	 -1.220810
1052	 -1.211014
1053	 -1.201157
1054	 -1.191223
1055	 -1.181213
1056	 -1.171127
1057	 -1.160965
1058	 -1.150726
1059	 -1.140411
1060	 -1.130020
1061	 -1.119553
1062	 -1.108994
1063	 -1.098358
1064	 -1.087631
1065	 -1.076828
1066	 -1.065933
1067	 -1.054947
1068	 -1.043869
1069	 -1.032715
1070	 -1.021469
1071	 -1.010117
1072	 -0.998672
1073	 -0.987137
1074	 -0.975510
1075	 -0.963776
1076	 -0.951950
1077	 -0.940018
1078	 -0.927979
1079	 -0.915833
1080	 -0.903580
1081	 -0.891220
1082	 -0.878754
1083	 -0.866180
1084	 -0.853485
1085	 -0.840683
1086	 -0.827759
1087	 -0.814713
1088	 -0.801544
1089	 -0.788254
1090	 -0.774841
1091	 -0.761307
1092	 -0.747635
1093	 -0.733841
1094	 -0.719910
1095	 -0.705841
1096	 -0.691650
1097	 -0.677322
1098	 -0.662842
1099	 -0.648224
1100	 -0.633469
1101	 -0.618561
1102	 -0.603500
1103	 -0.588287
1104	 -0.572922
1105	 -0.557404
1106	 -0.541733
1107	 -0.525894
1108	 -0.509903
1109	 -0.493744
1110	 -0.477417
1111	 -0.460922
1112	 -0.444260
1113	 -0.427414
1114	 -0.410400
1115	 -0.393204
1116	 -0.375824
1117	 -0.358261
1118	 -0.340515
1119	 -0.322586
1120	 -0.304474
1121	 -0.286163
1122	 -0.267670
1123	 -0.248978
1124	 -0.230087
1125	 -0.210999
1126	 -0.191711
1127	 -0.172226
1128	 -0.152527
1129	 -0.132629
1130	 -0.112518
1131	 -0.092209
1132	 -0.071686
1133	 -0.050949
1134	 -0.030014
1135	 -0.008865
1136	 0.012497
1137	 0.034073
1138	 0.055862
1139	 0.077866
1140	 0.100082
1141	 0.122513
1142	 0.145142
1143	 0.167984
1144	 0.191040
1145	 0.214294
1146	 0.237762
1147	 0.261429
1148	 0.285294
1149	 0.309357
1150	 0.333618
1151	 0.358063
1152	 0.382690
1153	 0.407501
1154	 0.432495
1155	 0.457657
1156	 0.482986
1157	 0.508469
1158	 0.534103
1159	 0.559891
1160	 0.585815
1161	 0.611862
1162	 0.638031
1163	 0.664307
1164	 0.690689
1165	 0.717148
1166	 0.743698
1167	 0.770309
1168	 0.796967
1169	 0.823669
1170	 0.850403
1171	 0.877151
1172	 0.903900
1173	 0.930634
1174	 0.957336
1175	 0.983994
1176	 1.010605
1177	 1.037140
1178	 1.063583
1179	 1.089905
1180	 1.116104
1181	 1.142166
1182	 1.168060
1183	 1.193771
1184	 1.219299
1185	 1.244614
1186	 1.269699
1187	 1.294525
1188	 1.319092
1189	 1.343384
1190	 1.367371
1191	 1.391037
1192	 1.414383
1193	 1.437378
1194	 1.460022
1195	 1.482285
1196	 1.504166
1197	 1.525650
1198	 1.546722
1199	 1.567368
1200	 1.587570
1201	 1.607330
1202	 1.626648
1203	 1.645493
1204	 1.663879
1205	 1.681793
1206	 1.699219
1207	 1.716156
1208	 1.732605
1209	 1.748566
1210	 1.764038
1211	 1.779007
1212	 1.793488
1213	 1.807480
1214	 1.820969
1215	 1.833969
1216	 1.846481
1217	 1.858521
1218	 1.870071
1219	 1.881149
1220	 1.891754
1221	 1.901901
1222	 1.911591
1223	 1.920822
1224	 1.929611
1225	 1.937958
1226	 1.945877
1227	 1.953369
1228	 1.960449
1229	 1.967133
1230	 1.973419
1231	 1.979324
1232	 1.984848
1233	 1.990005
1234	 1.994797
1235	 1.999237
1236	 2.003342
1237	 2.007111
1238	 2.010559
1239	 2.013687
1240	 2.016510
1241	 2.019043
1242	 2.021286
1243	 2.023254
1244	 2.024948
1245	 2.026382
1246	 2.027557
1247	 2.028488
1248	 2.029175
1249	 2.029633
1250	 2.029861
1251	 2.029877
1252	 2.029678
1253	 2.029282
1254	 2.028687
1255	 2.027893
1256	 2.026917
1257	 2.025772
1258	 2.024445
1259	 2.022949
1260	 2.021301
1261	 2.019501
1262	 2.017548
1263	 2.015442
1264	 2.013199
1265	 2.010818
1266	 2.008301
1267	 2.005661
1268	 2.002899
1269	 2.000015
1270	 1.997009
1271	 1.993896
1272	 1.990662
1273	 1.987320
1274	 1.983887
1275	 1.980347
1276	 1.976715
1277	 1.972992
1278	 1.969177
1279	 1.965271
1280	 1.961273
1281	 1.957199
1282	 1.953033
1283	 1.948792
1284	 1.944473
1285	 1.940079
1286	 1.935608
1287	 1.931061
1288	 1.926453
1289	 1.921768
1290	 1.917023
1291	 1.912216
1292	 1.907333
1293	 1.902390
1294	 1.897385
1295	 1.892319
1296	 1.887192
1297	 1.882019
1298	 1.876785
1299	 1.871490
1300	 1.866150
1301	 1.860748
1302	 1.855301
1303	 1.849792
1304	 1.844238
1305	 1.838638
1306	 1.832977
1307	 1.827271
1308	 1.821518
1309	 1.815720
1310	 1.809875
1311	 1.803986
1312	 1.798035
1313	 1.792038
1314	 1.785995
1315	 1.779907
1316	 1.773773
1317	 1.767609
1318	 1.761398
1319	 1.755142
1320	 1.748840
1321	 1.742493
1322	 1.736099
1323	 1.729660
1324	 1.723175
1325	 1.716644
1326	 1.710083
1327	 1.703476
1328	 1.696823
1329	 1.690125
1330	 1.683380
1331	 1.676590
1332	 1.669769
1333	 1.662903
1334	 1.655991
1335	 1.649033
1336	 1.642029
1337	 1.634979
1338	 1.627884
1339	 1.620758
1340	 1.613586
1341	 1.606369
1342	 1.599106
1343	 1.591797
1344	 1.584442
1345	 1.577042
1346	 1.569595
1347	 1.562103
1348	 1.554565
1349	 1.546982
1350	 1.539352
1351	 1.531677
1352	 1.523956
1353	 1.516174
1354	 1.508347
1355	 1.500473
1356	 1.492554
1357	 1.484573
1358	 1.476547
1359	 1.468475
1360	 1.460358
1361	 1.452179
1362	 1.443954
1363	 1.435669
1364	 1.427338
1365	 1.418945
1366	 1.410507
1367	 1.402008
1368	 1.393448
1369	 1.384842
1370	 1.376175
1371	 1.367447
1372	 1.358673
1373	 1.349838
1374	 1.340942
1375	 1.331985
1376	 1.322968
1377	 1.313889
1378	 1.304749
1379	 1.295547
1380	 1.286270
1381	 1.276932
1382	 1.267532
1383	 1.258057
1384	 1.248520
1385	 1.238907
1386	 1.229233
1387	 1.219482
1388	 1.209671
1389	 1.199783
1390	 1.189819
1391	 1.179779
1392	 1.169662
1393	 1.159470
1394	 1.149200
1395	 1.138855
1396	 1.128433
1397	 1.117935
1398	 1.107346
1399	 1.096680
1400	 1.085922
1401	 1.075089
1402	 1.064163
1403	 1.053146
1404	 1.042038
1405	 1.030838
1406	 1.019547
1407	 1.008163
1408	 0.996689
1409	 0.985123
1410	 0.973450
1411	 0.961685
1412	 0.949814
1413	 0.937851
1414	 0.925781
1415	 0.913605
1416	 0.901321
1417	 0.888931
1418	 0.876419
1419	 0.863800
1420	 0.851074
1421	 0.838226
1422	 0.825256
1423	 0.812180
1424	 0.798981
1425	 0.785660
1426	 0.772202
1427	 0.758621
1428	 0.744919
1429	 0.731079
1430	 0.717102
1431	 0.703003
1432	 0.688766
1433	 0.674393
1434	 0.659866
1435	 0.645203
1436	 0.630386
1437	 0.615433
1438	 0.600327
1439	 0.585068
1440	 0.569656
1441	 0.554092
1442	 0.538361
1443	 0.522476
1444	 0.506424
1445	 0.490204
1446	 0.473816
1447	 0.457260
1448	 0.440536
1449	 0.423645
1450	 0.406570
1451	 0.389313
1452	 0.371887
1453	 0.354279
1454	 0.336472
1455	 0.318481
1456	 0.300308
1457	 0.281937
1458	 0.263382
1459	 0.244629
1460	 0.225677
1461	 0.206528
1462	 0.187180
1463	 0.167618
1464	 0.147858
1465	 0.127899
1466	 0.107727
1467	 0.087341
1468	 0.066757
1469	 0.045959
1470	 0.024948
1471	 0.003723
1472	 -0.017715
1473	 -0.039352
1474	 -0.061203
1475	 -0.083267
1476	 -0.105545
1477	 -0.128036
1478	 -0.150742
1479	 -0.173660
1480	 -0.196777
1481	 -0.220108
1482	 -0.243637
1483	 -0.267365
1484	 -0.291290
1485	 -0.315414
1486	 -0.339737
1487	 -0.364243
1488	 -0.388947
1489	 -0.413818
1490	 -0.438873
1491	 -0.464096
1492	 -0.489487
1493	 -0.515030
1494	 -0.540726
1495	 -0.566559
1496	 -0.592529
1497	 -0.618622
1498	 -0.644836
1499	 -0.671158
1500	 -0.697571
1501	 -0.724075
1502	 -0.750656
1503	 -0.777298
1504	 -0.804001
1505	 -0.830734
1506	 -0.857498
1507	 -0.884262
1508	 -0.911026
1509	 -0.937775
1510	 -0.964493
1511	 -0.991165
1512	 -1.017776
1513	 -1.044296
1514	 -1.070724
1515	 -1.097046
1516	 -1.123230
1517	 -1.149261
1518	 -1.175125
1519	 -1.200821
1520	 -1.226303
1521	 -1.251572
1522	 -1.276611
1523	 -1.301392
1524	 -1.325912
1525	 -1.350143
1526	 -1.374069
1527	 -1.397675
1528	 -1.420944
1529	 -1.443863
1530	 -1.466431
1531	 -1.488617
1532	 -1.510406
1533	 -1.531799
1534	 -1.552780
1535	 -1.573334
1536	 -1.593445
1537	 -1.613113
1538	 -1.632324
1539	 -1.651062
1540	 -1.669342
1541	 -1.687134
1542	 -1.704453
1543	 -1.721283
1544	 -1.737625
1545	 -1.753479
1546	 -1.768829
1547	 -1.783691
1548	 -1.798050
1549	 -1.811920
1550	 -1.825302
1551	 -1.838196
1552	 -1.850601
1553	 -1.862518
1554	 -1.873962
1555	 -1.884918
1556	 -1.895416
1557	 -1.905441
1558	 -1.915009
1559	 -1.924133
1560	 -1.932816
1561	 -1.941055
1562	 -1.948868
